"id","len","productId","rating","title","text","certifiedBuyer"
"4ce0d6b8-f48a-4b22-8d75-80101f027eb7",312,"PWBEX2Z2ZH5YJWAR",5,"Must buy!","Awesome product by Syska no heating issue like others power bank.Fast charging with boost power is good i'm buy this product for Rs 699. this is the appropriate amount for this product 
it's working very good.Overall the product is very good and also Flipkart is best for his fastest delivery.Keep it up Flipkart","true"
"90087070-a4b8-41e5-b56e-33883b3473cd",12,"PWBEGZCMYEPTGNGV",5,"Super!","best product","true"
"6bee78c3-a6c7-4437-a9ac-1ab0f4b347b6",12,"PWBEGZCMYEPTGNGV",3,"Just okay","Good product","true"
"4fddf1c7-6ee2-4516-a21c-8b171efbbef7",54,"PWBEASV3K2ZTQSGB",1,"Value-for-money","Just worst quality power bank. Never buy this product.","true"
"e89b857d-8a63-4020-a6f2-23a8d92cdad4",165,"PWBEGZCMW5XY2QFJ",5,"Just wow!","heavily build ,bought for 599 , nice finishing and it is my first  purchase on Flipkart which  made my delighted for rest orders I had a bad experience with Flipkart","true"
"f9f5d222-4066-4fcc-83e6-952e634bc43a",4,"PWBEZQANEGHEXPMC",5,"I love","Best","true"
"08649e8a-4fdb-4736-9315-a59849f31b70",22,"PWBEGZCMYEPTGNGV",5,"Awesome","very very good product","true"
"a7835b8e-058b-4aea-9aaa-6d5a4fa070e1",4,"PWBFYPDTS2WQZWS8",4,"Wonderful","Good","true"
"e1e1e889-93b5-41ac-9932-9e27396fec31",4,"PWBEW7V4FDW2A65D",4,"Good quality product","good","true"
"c4881bd1-60c6-4743-b6fe-9dafb7cd0a0c",35,"PWBEX2Z2FFDRDSYR",1,"Horrible","Mobile charging takes a lot of time","true"
"652183d5-29ee-4bd2-999b-9a65a4623126",32,"PWBEH2MC6XBXVF7E",5,"Highly recommended","battery performance is very well","true"
"643caa2f-53b6-405b-87fb-cedbfe076a7e",4,"PWBEC88RWRGZZRYJ",5,"Bhabha","Good","true"
"399e8ac0-8465-4a5d-b03f-bbc914619146",61,"PWBEW7TNRHZTGSZB",2,"Expected a better product","wrost prdoduct and only 4000 mah battery one time charge only","true"
"8de037bd-8669-42da-b95a-41e0b6b765fe",10,"PWBEQ8EYDRHUQAGG",4,"Worth the money","is perfect","true"
"8ed92daf-40d6-4554-b72d-78905a92b679",12,"PWBEYEHZ2GZNHGWZ",4,"Good choice","nice looking","true"
"7a0b6c12-0dce-436b-823a-f0a1ee77574e",696,"PWBF28KU3ZHFFDCF",4,"Delightful","after using 2 weeks this ambrane product is worthful for your money
it's size is bigger than I thought but weight is low and easy to carry .
data cable have very slow charging capacity you may use your own fast charging adaptor and data cables it takes only 3hrs to full charge if use the given cable it takes minimum 6 hrs for the full charge and take only 1.5hrs charge my 2300 meh moto e2 I can charge only 2.5 times my phone which means its only 6000mehz . for led light you does not long press the button ,press 2 times the button for led light , light power is awesome .totally its an average power bank but its more than enough if you have 3000 mehz phone.flipkart packed good all products","true"
"46e8f18f-1dfc-4970-9274-c3c2900be19f",49,"PWBEUUXBUSYNDBME",5,"Fabulous!","very nice and very fast charging also...go for it","true"
"9a541762-2cde-4683-ad7d-4214238ab2cd",45,"PWBEJZYYPWGSXFHF",3,"Good","it is not fully working after 2 months of use","true"
"c4128d72-4c17-4392-a94e-c2d44203268b",39,"PWBEGZCMYEPTGNGV",5,"Simply awesome","Good product delivery. Thanks Flipkart.","true"
"18aa7651-6648-4af2-aead-6d5d93c6cde4",21,"PWBEC88RWRGZZRYJ",2,"Slightly disappointed","good and money saving","true"
"78684d50-99d7-4f70-86fb-62dce9d81415",152,"PWBEC88RWRGZZRYJ",2,"Not good","Product is good i am using it for 5 months now but the problem is its too much weight and so big that we cant carry i suggest to buy a smaller powerbank","true"
"92d2d94a-531e-42e2-80ee-4b4c959e6983",15,"PWBEGZCMW5XY2QFJ",4,"Nice product","nice product...","true"
"693fffb4-8d61-45d4-b120-4f8ac3f2ff2d",12,"PWBEUUXBGAUH7QTC",3,"Does the job","nice working","true"
"6b5defb9-d2ab-4e05-be41-873b70eb84b9",7,"PWBEC88RWRGZZRYJ",5,"Simply awesome","awesome","true"
"3491cd50-201f-4502-984c-582c775c5b90",4,"PWBEME9PAWTYZ5VU",4,"Pretty good","Good","true"
"b914c935-efc0-456f-9819-f7e5d36b0518",3,"PWBEPZD5EH6QRNPG",1,"Did not meet expectations","Bad","true"
"614ea4d1-50d5-46b8-b438-5887c851f5ab",10,"PWBFYKES55GXFWAG",1,"Useless product","not useful","true"
"661dd460-9c9f-4264-9a65-e6fa6b97ea4d",44,"PWBE6NYHPTAFZE69",3,"Nice","Good but data cable is not working properly.","true"
"6c198a65-eb0c-4c41-b078-e68b18f81c47",39,"PWBEWXC9DR65H2YH",2,"Bad quality","The power bank work very poor condition","true"
